X,Y,LAYER

13.72327665,13.72327665,1

18.87391519,13.72327665,1

23.98927538,13.72327665,1

22.61341988,8.607916461,1

18.87391519,4.868411769,1

13.72327665,3.492556269,1

8.607916461,4.868411769,1

4.868411769,8.607916461,1

3.492556269,13.72327665,1

4.868411769,18.87391519,1

8.607916461,22.61341988,1

13.72327665,23.98927538,1

18.87391519,22.61341988,1

22.61341988,18.87391519,1

16.29859592,9.313483384,1

11.18323573,9.313483384,1

8.607916461,13.72327665,1

11.18323573,18.16834827,1

16.29859592,18.16834827,1

13.72327665,13.72327665,2

18.69752346,12.41797785,2

23.63649192,11.07740069,2

20.99061596,6.491215692,2

16.40443096,3.84533973,2

11.07740069,3.84533973,2

6.491215692,6.491215692,2

3.84533973,11.07740069,2

3.84533973,16.40443096,2

6.491215692,20.99061596,2

11.07740069,23.63649192,2

16.40443096,23.63649192,2

20.99061596,20.99061596,2

23.63649192,16.40443096,2

15.06385381,8.784308192,2

10.12488535,10.12488535,2

8.784308192,15.06385381,2

12.41797785,18.69752346,2

17.35694631,17.35694631,2

23.98927538,13.72327665,3

22.61341988,8.607916461,3

18.87391519,4.868411769,3

13.72327665,3.492556269,3

8.607916461,4.868411769,3

4.868411769,8.607916461,3

3.492556269,13.72327665,3

4.868411769,18.87391519,3

8.607916461,22.61341988,3

13.72327665,23.98927538,3

18.87391519,22.61341988,3

22.61341988,18.87391519,3

23.63649192,11.07740069,4

20.99061596,6.491215692,4

16.40443096,3.84533973,4

11.07740069,3.84533973,4

6.491215692,6.491215692,4

3.84533973,11.07740069,4

3.84533973,16.40443096,4

6.491215692,20.99061596,4

11.07740069,23.63649192,4

16.40443096,23.63649192,4

20.99061596,20.99061596,4

23.63649192,16.40443096,4

23.98927538,13.72327665,5

22.61341988,8.607916461,5

18.87391519,4.868411769,5

13.72327665,3.492556269,5

8.607916461,4.868411769,5

4.868411769,8.607916461,5

3.492556269,13.72327665,5

4.868411769,18.87391519,5

8.607916461,22.61341988,5

13.72327665,23.98927538,5

18.87391519,22.61341988,5

22.61341988,18.87391519,5

23.63649192,11.07740069,6

20.99061596,6.491215692,6

16.40443096,3.84533973,6

11.07740069,3.84533973,6

6.491215692,6.491215692,6

3.84533973,11.07740069,6

3.84533973,16.40443096,6

6.491215692,20.99061596,6

11.07740069,23.63649192,6

16.40443096,23.63649192,6

20.99061596,20.99061596,6

23.63649192,16.40443096,6

23.98927538,13.72327665,7

22.61341988,8.607916461,7

18.87391519,4.868411769,7

13.72327665,3.492556269,7

8.607916461,4.868411769,7

4.868411769,8.607916461,7

3.492556269,13.72327665,7

4.868411769,18.87391519,7

8.607916461,22.61341988,7

13.72327665,23.98927538,7

18.87391519,22.61341988,7

22.61341988,18.87391519,7

23.63649192,11.07740069,8

20.99061596,6.491215692,8

16.40443096,3.84533973,8

11.07740069,3.84533973,8

6.491215692,6.491215692,8

3.84533973,11.07740069,8

3.84533973,16.40443096,8

6.491215692,20.99061596,8

11.07740069,23.63649192,8

16.40443096,23.63649192,8

20.99061596,20.99061596,8

23.63649192,16.40443096,8

23.98927538,13.72327665,9

22.61341988,8.607916461,9

18.87391519,4.868411769,9

13.72327665,3.492556269,9

8.607916461,4.868411769,9

4.868411769,8.607916461,9

3.492556269,13.72327665,9

4.868411769,18.87391519,9

8.607916461,22.61341988,9

13.72327665,23.98927538,9

18.87391519,22.61341988,9

22.61341988,18.87391519,9

23.63649192,11.07740069,10

20.99061596,6.491215692,10

16.40443096,3.84533973,10

11.07740069,3.84533973,10

6.491215692,6.491215692,10

3.84533973,11.07740069,10

3.84533973,16.40443096,10

6.491215692,20.99061596,10

11.07740069,23.63649192,10

16.40443096,23.63649192,10

20.99061596,20.99061596,10

23.63649192,16.40443096,10

23.98927538,13.72327665,11

22.61341988,8.607916461,11

18.87391519,4.868411769,11

13.72327665,3.492556269,11

8.607916461,4.868411769,11

4.868411769,8.607916461,11

3.492556269,13.72327665,11

4.868411769,18.87391519,11

8.607916461,22.61341988,11

13.72327665,23.98927538,11

18.87391519,22.61341988,11

22.61341988,18.87391519,11

23.63649192,11.07740069,12

20.99061596,6.491215692,12

16.40443096,3.84533973,12

11.07740069,3.84533973,12

6.491215692,6.491215692,12

3.84533973,11.07740069,12

3.84533973,16.40443096,12

6.491215692,20.99061596,12

11.07740069,23.63649192,12

16.40443096,23.63649192,12

20.99061596,20.99061596,12

23.63649192,16.40443096,12

23.98927538,13.72327665,13

22.61341988,8.607916461,13

18.87391519,4.868411769,13

13.72327665,3.492556269,13

8.607916461,4.868411769,13

4.868411769,8.607916461,13

3.492556269,13.72327665,13

4.868411769,18.87391519,13

8.607916461,22.61341988,13

13.72327665,23.98927538,13

18.87391519,22.61341988,13

22.61341988,18.87391519,13
