X,Y,LAYER

74.226,74.226,1

79.376,74.226,1

84.492,74.226,1

89.607,74.226,1

94.758,74.226,1

99.873,74.226,1

104.988,74.226,1

110.104,74.226,1

115.254,74.226,1

120.370,74.226,1

120.087,69.146,1

119.241,64.136,1

117.865,59.268,1

115.960,54.540,1

113.526,50.060,1

110.633,45.897,1

107.317,42.052,1

103.577,38.630,1

99.485,35.631,1

95.075,33.091,1

90.418,31.045,1

85.550,29.528,1

80.576,28.540,1

75.496,28.117,1

70.416,28.258,1

65.406,28.964,1

60.467,30.198,1

55.705,31.997,1

51.189,34.291,1

46.920,37.078,1

43.004,40.288,1

39.441,43.957,1

36.337,47.943,1

33.656,52.283,1

31.504,56.869,1

29.845,61.667,1

28.752,66.641,1

28.187,71.686,1

28.187,76.766,1

28.752,81.810,1

29.845,86.785,1

31.504,91.583,1

33.691,96.204,1

36.337,100.508,1

39.476,104.530,1

43.004,108.163,1

46.920,111.409,1

51.189,114.196,1

55.705,116.489,1

60.467,118.253,1

65.406,119.488,1

70.451,120.193,1

75.531,120.334,1

80.576,119.911,1

85.585,118.959,1

90.418,117.442,1

95.075,115.395,1

99.485,112.855,1

103.577,109.821,1

107.317,106.399,1

110.633,102.554,1

113.526,98.391,1

115.960,93.911,1

117.865,89.184,1

119.241,84.315,1

120.087,79.306,1

114.902,69.075,1

113.949,64.030,1

112.362,59.127,1

110.174,54.470,1

107.423,50.131,1

104.142,46.179,1

100.367,42.652,1

96.204,39.618,1

91.688,37.148,1

86.926,35.243,1

81.916,33.973,1

76.801,33.303,1

71.650,33.303,1

66.570,33.973,1

61.561,35.243,1

56.798,37.148,1

52.283,39.618,1

48.120,42.652,1

44.345,46.179,1

41.064,50.131,1

38.312,54.470,1

36.125,59.127,1

34.538,64.030,1

33.550,69.075,1

33.232,74.226,1

33.550,79.376,1

34.538,84.421,1

36.125,89.325,1

38.312,93.982,1

41.064,98.321,1

44.345,102.307,1

48.120,105.835,1

52.283,108.834,1

56.798,111.338,1

61.561,113.208,1

66.570,114.514,1

71.650,115.149,1

76.801,115.149,1

81.916,114.514,1

86.926,113.208,1

91.688,111.338,1

96.204,108.834,1

100.367,105.835,1

104.142,102.307,1

107.423,98.321,1

110.174,93.982,1

112.362,89.325,1

113.949,84.421,1

114.902,79.376,1

109.751,69.110,1

108.657,64.136,1

106.858,59.338,1

104.424,54.823,1

101.355,50.730,1

97.721,47.132,1

93.629,44.063,1

89.148,41.593,1

84.351,39.794,1

79.341,38.736,1

74.226,38.348,1

69.146,38.736,1

64.136,39.794,1

59.338,41.593,1

54.858,44.063,1

50.730,47.132,1

47.132,50.730,1

44.063,54.823,1

41.593,59.338,1

39.829,64.136,1

38.736,69.110,1

38.383,74.226,1

38.736,79.341,1

39.829,84.351,1

41.593,89.148,1

44.063,93.629,1

47.132,97.721,1

50.766,101.355,1
