X,Y,LAYER
155.97,175.02,8
156.67,180.17,8
158.75,184.89,8
162.03,188.92,8
166.27,191.91,8
171.14,193.64,8
176.32,194.00,8
181.40,192.97,8
185.99,190.57,8
189.80,187.05,8
192.48,182.60,8
193.89,177.63,8
193.89,172.44,8
192.48,167.43,8
189.80,162.99,8
185.99,159.46,8
181.40,157.06,8
176.32,156.04,8
171.14,156.39,8
166.27,158.12,8
162.03,161.12,8
158.75,165.14,8
156.67,169.87,8
194.98,175.02,9
194.28,169.87,9
192.30,165.03,9
189.13,160.90,9
185.00,157.73,9
180.17,155.75,9
175.02,155.05,9
169.87,155.75,9
165.03,157.73,9
160.90,160.90,9
157.73,165.03,9
155.75,169.87,9
155.05,175.02,9
155.75,180.17,9
157.73,185.00,9
160.90,189.13,9
165.03,192.30,9
169.87,194.28,9
175.02,194.98,9
180.17,194.28,9
185.00,192.30,9
189.13,189.13,9
192.30,185.00,9
194.28,180.17,9
194.88,172.41,10
193.54,167.36,10
190.93,162.81,10
187.22,159.11,10
182.67,156.49,10
177.63,155.15,10
172.41,155.15,10
167.36,156.49,10
162.81,159.11,10
159.11,162.81,10
156.49,167.36,10
155.15,172.41,10
155.15,177.63,10
156.49,182.67,10
159.11,187.22,10
162.81,190.93,10
167.36,193.54,10
172.41,194.88,10
177.63,194.88,10
182.67,193.54,10
187.22,190.93,10
190.93,187.22,10
193.54,182.67,10
194.88,177.63,10
195.55,175.02,11
194.91,169.90,11
193.01,165.14,11
189.97,160.94,11
186.02,157.66,11
181.37,155.47,11
176.32,154.52,11
171.17,154.84,11
166.27,156.42,11
161.93,159.18,11
158.40,162.95,11
155.93,167.47,11
154.62,172.44,11
154.62,177.59,11
155.93,182.57,11
158.40,187.08,11
161.93,190.86,11
166.27,193.61,11
171.17,195.20,11
176.32,195.51,11
181.37,194.56,11
186.02,192.37,11
189.97,189.09,11
193.01,184.89,11
194.91,180.13,11
153.99,175.02,12
154.59,180.06,12
156.39,184.79,12
159.28,188.95,12
163.06,192.34,12
167.57,194.70,12
172.48,195.90,12
177.56,195.90,12
182.46,194.70,12
186.98,192.34,12
190.75,188.99,12
193.64,184.79,12
195.44,180.06,12
196.04,175.02,12
195.44,169.97,12
193.64,165.24,12
190.75,161.08,12
186.98,157.69,12
182.49,155.33,12
177.56,154.13,12
172.48,154.13,12
167.57,155.33,12
163.06,157.69,12
159.28,161.05,12
156.39,165.24,12
154.59,169.97,12
153.64,177.63,13
154.87,182.67,13
157.27,187.26,13
160.73,191.14,13
165.00,194.10,13
169.87,195.94,13
175.02,196.57,13
180.17,195.94,13
185.03,194.10,13
189.30,191.14,13
192.73,187.26,13
195.16,182.67,13
196.39,177.63,13
196.39,172.41,13
195.16,167.40,13
192.76,162.77,13
189.30,158.89,13
185.03,155.93,13
180.17,154.10,13
175.02,153.46,13
169.87,154.10,13
165.00,155.93,13
160.73,158.89,13
157.31,162.77,13
154.87,167.36,13
153.64,172.41,13
196.96,175.02,14
196.39,169.94,14
194.63,165.17,14
191.84,160.90,14
188.14,157.41,14
183.73,154.84,14
178.83,153.39,14
173.75,153.11,14
168.74,153.99,14
164.04,156.00,14
159.95,159.03,14
156.67,162.95,14
154.38,167.50,14
153.21,172.48,14
153.21,177.56,14
154.38,182.53,14
156.67,187.08,14
159.95,191.00,14
164.04,194.03,14
168.70,196.04,14
173.75,196.92,14
178.83,196.64,14
183.69,195.20,14
188.14,192.62,14
191.84,189.13,14
194.63,184.86,14
196.39,180.10,14
