X,Y,LAYER
175.02,175.02,1
180.17,175.02,1
185.35,175.02,1
183.98,169.83,1
180.17,166.02,1
175.02,164.64,1
169.83,166.02,1
166.02,169.83,1
164.64,175.02,1
166.02,180.17,1
169.83,183.98,1
175.02,185.35,1
180.17,183.98,1
183.98,180.17,1
177.59,170.50,1
172.41,170.50,1
169.83,175.02,1
172.41,179.50,1
177.59,179.50,1
175.02,175.02,2
178.65,171.35,2
182.32,167.68,2
177.70,165.00,2
172.33,165.00,2
167.68,167.68,2
165.00,172.33,2
165.00,177.70,2
167.68,182.32,2
172.33,185.00,2
177.70,185.00,2
182.32,182.32,2
185.00,177.70,2
185.00,172.33,2
173.68,170.01,2
170.01,173.68,2
171.35,178.65,2
176.36,179.99,2
179.99,176.36,2
175.02,175.02,3
180.17,175.02,3
185.35,175.02,3
183.98,169.83,3
180.17,166.02,3
175.02,164.64,3
169.83,166.02,3
166.02,169.83,3
164.64,175.02,3
166.02,180.17,3
169.83,183.98,3
175.02,185.35,3
180.17,183.98,3
183.98,180.17,3
177.59,170.50,3
172.41,170.50,3
169.83,175.02,3
172.41,179.50,3
177.59,179.50,3
175.02,175.02,4
178.65,171.35,4
182.32,167.68,4
177.70,165.00,4
172.33,165.00,4
167.68,167.68,4
165.00,172.33,4
165.00,177.70,4
167.68,182.32,4
172.33,185.00,4
177.70,185.00,4
182.32,182.32,4
185.00,177.70,4
185.00,172.33,4
173.68,170.01,4
170.01,173.68,4
171.35,178.65,4
176.36,179.99,4
179.99,176.36,4
175.02,175.02,5
180.17,175.02,5
185.35,175.02,5
183.98,169.83,5
180.17,166.02,5
175.02,164.64,5
169.83,166.02,5
166.02,169.83,5
164.64,175.02,5
166.02,180.17,5
169.83,183.98,5
175.02,185.35,5
180.17,183.98,5
183.98,180.17,5
177.59,170.50,5
172.41,170.50,5
169.83,175.02,5
172.41,179.50,5
177.59,179.50,5
175.02,175.02,6
178.65,171.35,6
182.32,167.68,6
177.70,165.00,6
172.33,165.00,6
167.68,167.68,6
165.00,172.33,6
165.00,177.70,6
167.68,182.32,6
172.33,185.00,6
177.70,185.00,6
182.32,182.32,6
185.00,177.70,6
185.00,172.33,6
173.68,170.01,6
170.01,173.68,6
171.35,178.65,6
176.36,179.99,6
179.99,176.36,6
175.02,175.02,7
180.17,175.02,7
185.35,175.02,7
183.98,169.83,7
180.17,166.02,7
175.02,164.64,7
169.83,166.02,7
166.02,169.83,7
164.64,175.02,7
166.02,180.17,7
169.83,183.98,7
175.02,185.35,7
180.17,183.98,7
183.98,180.17,7
177.59,170.50,7
172.41,170.50,7
169.83,175.02,7
172.41,179.50,7
177.59,179.50,7
175.02,175.02,8
178.65,171.35,8
182.32,167.68,8
177.70,165.00,8
172.33,165.00,8
167.68,167.68,8
165.00,172.33,8
165.00,177.70,8
167.68,182.32,8
172.33,185.00,8
177.70,185.00,8
182.32,182.32,8
185.00,177.70,8
185.00,172.33,8
173.68,170.01,8
170.01,173.68,8
171.35,178.65,8
176.36,179.99,8
179.99,176.36,8
